20.5768 	DATA 	Keypress: space
23.1731 	DATA 	Keypress: right
25.9066 	DATA 	Keypress: right
28.5568 	DATA 	Keypress: left
31.2067 	DATA 	Keypress: left
33.7735 	DATA 	Keypress: left
36.5242 	DATA 	Keypress: left
39.3240 	DATA 	Keypress: right
42.0072 	DATA 	Keypress: left
44.5407 	DATA 	Keypress: left
47.2572 	DATA 	Keypress: right
49.8243 	DATA 	Keypress: left
52.4743 	DATA 	Keypress: left
55.1077 	DATA 	Keypress: right
57.7243 	DATA 	Keypress: left
60.4748 	DATA 	Keypress: left
63.0411 	DATA 	Keypress: right
65.9084 	DATA 	Keypress: left
68.5588 	DATA 	Keypress: right
71.2583 	DATA 	Keypress: left
73.9084 	DATA 	Keypress: right
75.3045 	EXP 	window1: mouseVisible = False
75.3153 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([0.00392157, 0.00392157, 0.00392157]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30.0, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='pix', win=Window(...), wrapWidth=1920)
79.7001 	DATA 	Keypress: space
81.1422 	DATA 	Keypress: left
83.3586 	DATA 	Keypress: right
85.4602 	DATA 	Keypress: right
87.6425 	DATA 	Keypress: right
89.8755 	DATA 	Keypress: right
92.1423 	DATA 	Keypress: left
94.6104 	DATA 	Keypress: left
96.8094 	DATA 	Keypress: right
99.0093 	DATA 	Keypress: left
100.9594 	DATA 	Keypress: right
103.0264 	DATA 	Keypress: left
105.2763 	DATA 	Keypress: right
107.3430 	DATA 	Keypress: left
109.3766 	DATA 	Keypress: right
111.5934 	DATA 	Keypress: left
113.6102 	DATA 	Keypress: right
115.6599 	DATA 	Keypress: left
117.5434 	DATA 	Keypress: right
118.2601 	DATA 	Keypress: right
120.3605 	DATA 	Keypress: left
122.3771 	DATA 	Keypress: left
124.4441 	DATA 	Keypress: left
126.5937 	DATA 	Keypress: left
128.7105 	DATA 	Keypress: right
130.8938 	DATA 	Keypress: left
133.1940 	DATA 	Keypress: left
135.5943 	DATA 	Keypress: left
137.7112 	DATA 	Keypress: left
139.7276 	DATA 	Keypress: left
141.8943 	DATA 	Keypress: right
143.9109 	DATA 	Keypress: left
145.9109 	DATA 	Keypress: up
146.3449 	DATA 	Keypress: left
148.5785 	DATA 	Keypress: right
150.6455 	DATA 	Keypress: right
152.8442 	DATA 	Keypress: left
154.7948 	DATA 	Keypress: right
156.7783 	DATA 	Keypress: right
158.8950 	DATA 	Keypress: left
161.1119 	DATA 	Keypress: right
163.0951 	DATA 	Keypress: right
165.0788 	DATA 	Keypress: left
165.7451 	DATA 	Keypress: left
167.8466 	DATA 	Keypress: right
170.3288 	DATA 	Keypress: left
172.5622 	DATA 	Keypress: left
175.0125 	DATA 	Keypress: left
175.8477 	DATA 	Keypress: up
177.1624 	DATA 	Keypress: left
179.4792 	DATA 	Keypress: left
181.8792 	DATA 	Keypress: right
184.3625 	DATA 	Keypress: right
186.6626 	DATA 	Keypress: left
188.8627 	DATA 	Keypress: right
191.0296 	DATA 	Keypress: left
193.2296 	DATA 	Keypress: left
195.2131 	DATA 	Keypress: right
197.3631 	DATA 	Keypress: left
199.4967 	DATA 	Keypress: right
201.5799 	DATA 	Keypress: right
203.8304 	DATA 	Keypress: right
205.8301 	DATA 	Keypress: right
207.8969 	DATA 	Keypress: right
209.8638 	DATA 	Keypress: right
211.8636 	DATA 	Keypress: right
214.0637 	DATA 	Keypress: right
215.4137 	DATA 	Keypress: right
216.6139 	DATA 	Keypress: left
218.6980 	DATA 	Keypress: right
221.8308 	DATA 	Keypress: right
224.0141 	DATA 	Keypress: left
226.4312 	DATA 	Keypress: right
228.5476 	DATA 	Keypress: left
230.1311 	DATA 	Keypress: right
231.2817 	DATA 	Keypress: left
232.3644 	DATA 	Keypress: left
233.1979 	DATA 	Keypress: left
233.7312 	DATA 	Keypress: right
234.2628 	DATA 	Keypress: right
234.7646 	DATA 	Keypress: right
