PART_ID,mean_SOA
Y2-S2-002K25,3.857142857142857
Y2-S2-003K22,6.285714285714286
Y2-S2-004K21,4.071428571428571
Y2-S2-006K27,6.142857142857143
Y2-S2-007K22,3
Y2-S2-008K23,13.571428571428571
Y2-S2-009K22,5.5
Y2-S2-010K21,5.357142857142857
Y2-S2-011K24,6.142857142857143
Y2-S2-012K28,2.2142857142857144
Y2-S2-012M26,4.714285714285714
Y2-S2-013M31,2.642857142857143
Y2-S2-014K21,3.357142857142857
Y2-S2-015K27,3.5714285714285716
Y2-S2-017K23,4.357142857142857
Y2-S2-018K21,3.9285714285714284
Y2-S2-019K19,4.857142857142857
Y2-S2-020K19,5.357142857142857
Y2-S2-021M22,4.214285714285714
Y2-S2-022M27,4.214285714285714
Y2-S2-024M20,3.0714285714285716
Y2-S2-025K21,2.642857142857143
Y2-S2-026K24,4
Y2-S2-027K22,4.071428571428571
Y2-S2-028K24,3.2142857142857144
Y2-S2-029M24,3.357142857142857
Y2-S2-030K23,3.7142857142857144
Y2-S2-031M33,6.714285714285714
Y2-S2-033K24,4.714285714285714
Y2-S2-034K26,5.071428571428571
Y2-S2-035K29,7.357142857142857
Y2-S2-037K20,2.857142857142857
Y2-S2-038M21,4.142857142857143
Y2-S2-044K25,3.857142857142857
Y2-S2-045K30,3.9285714285714284
Y2-S2-046K25,14.642857142857142
Y2-S2-047M32,4.214285714285714
Y2-S2-049K21,6.642857142857143
Y2-S2-051K23,4.5
Y2-S2-053K19,6.071428571428571
Y2-S2-054K22,4.357142857142857
Y2-S2-055K22,3.857142857142857
Y2-S2-056M23,3.5
Y2-S2-057K24,6.428571428571429
Y2-S2-058K25,3.5
Y2-S2-061K28,4.714285714285714
Y2-S2-062M21,2.9285714285714284
Y2-S2-064K19,5.785714285714286
Y2-S2-065K21,5.571428571428571
Y2-S2-068K20,4.928571428571429
Y2-S2-069K23,3.9285714285714284
Y2-S2-070K25,6.428571428571429
Y2-S2-071K29,2.642857142857143
Y2-S2-072M23,5.142857142857143
Y2-S2-073K20,6.928571428571429
Y2-S2-074M24,4
Y2-S2-076K22,5.214285714285714
Y2-S2-077K20,3.5714285714285716
Y2-S2-078M27,4.142857142857143
Y2-S2-080K20,4.857142857142857
Y2-S2-081K20,5.071428571428571
Y2-S2-082K20,5.5
Y2-S2-083M22,10.571428571428571
Y2-S2-084K38,5.714285714285714
Y2-S2-088K19,3.5
Y2-S2-090M19,7.428571428571429
Y2-S2-091M19,8.5
Y2-S2-092M28,4.071428571428571
Y2-S2-094K22,7.285714285714286
Y2-S2-095M27,4.714285714285714
Y2-S2-096K22,4.571428571428571
Y2-S2-099K20,8.285714285714286
Y2-S2-100K21,4.642857142857143
Y2-S2-101K19,2.5
Y2-S2-102M22,3.2142857142857144
Y2-S2-104K22,4.571428571428571
Y2-S2-107K21,4.285714285714286
Y2-S2-108M20,2.857142857142857
Y2-S2-109K20,4.5
Y2-S2-111K20,3.357142857142857
Y2-S2-112M21,4.285714285714286
Y2-S2-113K19,3.7142857142857144
Y2-S2-114K19,5.928571428571429
Y2-S2-118K19,3.642857142857143
Y2-S2-119K21,4.142857142857143
Y2-S2-120K25,5.5
Y2-S2-121M22,9.928571428571429
Y2-S2-122K22,4.857142857142857
Y2-S2-123M22,4.5
Y2-S2-126K25,3.5
Y2-S2-127K20,5.071428571428571
Y2-S2-129K31,6.714285714285714
Y2-S2-130K21,3.857142857142857
Y2-S2-131M23,3
Y2-S2-132M21,4.857142857142857
Y2-S2-133K20,5.5
Y2-S2-134M23,3.5
Y2-S2-135K23,5.571428571428571
Y2-S2-137K20,4.142857142857143
Y2-S2-138K24,2.2857142857142856
Y2-S2-140K31,7.071428571428571
Y2-S2-141K21,4.5
Y2-S2-142K23,3.9285714285714284
Y2-S2-143K18,20.642857142857142
Y2-S2-144M20,4.428571428571429
Y2-S2-145K20,8.285714285714286
Y2-S2-146K21,3.5
Y2-S2-147K19,5.357142857142857
Y2-S2-148K21,3.7857142857142856
Y2-S2-149K18,4.5
Y2-S2-150K21,4.357142857142857
Y2-S2-152M20,4.928571428571429
Y2-S2-153K20,6
Y2-S2-154K24,6.571428571428571
Y2-S2-155K19,4.714285714285714
Y2-S2-156K20,3.9285714285714284
Y2-S2-157K21,7.357142857142857
Y2-S2-158K20,4
Y2-S2-159K18,2.4285714285714284
Y2-S2-160K20,7.357142857142857
Y2-S2-161K21,4.071428571428571
Y2-S2-164K18,4.357142857142857
Y2-S2-166K18,7.428571428571429
Y2-S2-168K23,3.0714285714285716
Y2-S2-169M21,6.214285714285714
Y2-S2-170K23,6.285714285714286
Y2-S2-171K21,5.714285714285714
Y2-S2-174K19,4.5
Y2-S2-175K21,4.142857142857143
Y2-S2-176M26,4.571428571428571
Y2-S2-179K21,4.428571428571429
Y2-S2-180K21,6.285714285714286
Y2-S2-181K21,3.2857142857142856
Y2-S2-183K22,6.428571428571429
Y2-S2-184K25,3.5714285714285716
Y2-S2-186K19,6.071428571428571
Y2-S2-187M32,5.571428571428571
Y2-S2-188M25,5.714285714285714
Y2-S2-189K21,3.7142857142857144
Y2-S2-190K21,10.142857142857142
Y2-S2-191K20,4.857142857142857
Y2-S2-193K20,2.142857142857143
Y2-S2-194K21,4.642857142857143
Y2-S2-195K21,4
Y2-S2-197K23,3.4285714285714284
Y2-S2-198K23,5
Y2-S2-200K18,6.357142857142857
Y2-S2-202K23,5.928571428571429
Y2-S2-203K22,2.5714285714285716
Y2-S2-206K20,3.857142857142857
Y2-S2-207M23,4.928571428571429
Y2-S2-208K19,3.5714285714285716
Y2-S2-208K26,3.4285714285714284
Y2-S2-209K20,7.428571428571429
Y2-S2-211M23,3.857142857142857
Y2-S2-212K24,5.928571428571429
Y2-S2-213K23,3.642857142857143
Y2-S2-214K21,3.5
Y2-S2-215M19,4.428571428571429
Y2-S2-216K24,3
Y2-S2-220M19,4.285714285714286
Y2-S2-224K20,5.142857142857143
Y2-S2-226M20,5.428571428571429
Y2-S2-228M20,4.214285714285714
Y2-S2-229K21,3.357142857142857
Y2-S2-230K20,2.7142857142857144
Y2-S2-231K22,3.7857142857142856
Y2-S2-232K20,3.5
Y2-S2-233K19,3.857142857142857
Y2-S2-234K20,4.357142857142857
Y2-S2-240K20,8.428571428571429
Y2-S2-242K22,3.2857142857142856
Y2-S2-244K18,3.2142857142857144
Y2-S2-246M19,5
Y2-S2-247K19,5.642857142857143
Y2-S2-248K22,5.214285714285714
Y2-S2-250K25,2.7142857142857144
Y2-S2-251M22,4.357142857142857
Y2-S2-253M20,4.571428571428571
