PART_ID,temporal_CIRCLES,temporal_SQUARES,inspection_CIRCLES,inspection_SQUARES,temporal_circles_z,temporal_squares_z,inspection_circles_z,inspection_squares_z,temporal_mean,inspection_mean,temporal_best,inspection_best,ps_composite,temporal_factor,inspection_factor
Y2-S2-002K25,1.5,0.6666666666666666,3.5,4,0.056267581411019875,-0.9591420173521773,-0.5934671471477054,-0.01564349202252644,-0.45143721797057873,-0.30455531958511595,-0.9591420173521773,-0.5934671471477054,-0.3779962687778473,-0.6264324774779861,-0.5614537001204261
Y2-S2-003K22,0.6666666666666666,2,6.333333333333333,3.6666666666666665,-0.7596123490487678,-0.018250059526785687,1.1059286139974187,-0.25233632784162147,-0.3889312042877768,0.4267961430778986,-0.018250059526785687,1.1059286139974187,0.01893246939506093,0.14452312100092862,0.2534462824495879
Y2-S2-004K21,0,1.3333333333333333,3.6666666666666665,2.5,-1.4123162934165978,-0.4886960384394815,-0.49350269060975704,-1.0807612532084536,-0.9505061659280396,-0.7871319719091053,-0.4886960384394815,-0.49350269060975704,-0.8688190689185725,-0.786399861417637,-0.80651220411627
Y2-S2-008K23,1.1666666666666667,7.333333333333333,13.666666666666666,6.833333333333333,-0.2700843907728951,3.7453177717747805,5.504364701667153,1.9962456124397803,1.7376166905009427,3.7503051570534662,3.7453177717747805,5.504364701667153,2.7439609237772045,3.744756275294888,3.9321106800400436
Y2-S2-009K22,2.3333333333333335,0.8333333333333334,5.5,2.8333333333333335,0.8721475118708076,-0.8415305226240032,0.6061063313076764,-0.8440684173893586,0.015308494623402225,-0.11898104304084106,-0.8415305226240032,0.6061063313076764,-0.05183627420871942,-0.3293542357552198,-0.25762371188026656
Y2-S2-010K21,0.5,1,3.6666666666666665,2.6666666666666665,-0.9227883351407253,-0.7239190278958293,-0.49350269060975704,-0.9624148352989063,-0.8233536815182774,-0.7279587629543316,-0.7239190278958293,-0.49350269060975704,-0.7756562222363045,-0.8154120876098371,-0.8120010230440255
Y2-S2-011K24,1.6666666666666667,7.166666666666667,4.333333333333333,4.666666666666667,0.21944356750297747,3.627706277046607,-0.09364486445796318,0.4577421796156636,1.9235749222747922,0.18204865757885022,3.627706277046607,-0.09364486445796318,1.0528117899268212,1.8728957982755077,1.4286609366762466
Y2-S2-012M26,1,1.5,4.166666666666667,3.6666666666666665,-0.4332603768648527,-0.3710845437113075,-0.1936093209959113,-0.25233632784162147,-0.40217246028808007,-0.22297282441876637,-0.3710845437113075,-0.1936093209959113,-0.31257264235342325,-0.34282054454663674,-0.318627366872826
Y2-S2-013M31,0.5,1.5,2.5,3.3333333333333335,-0.9227883351407253,-0.3710845437113075,-1.1932538863753965,-0.4890291636607162,-0.6469364394260164,-0.8411415250180564,-0.3710845437113075,-1.1932538863753965,-0.7440389822220363,-0.7279448118563078,-0.7980951816260072
Y2-S2-014K21,0.3333333333333333,1.8333333333333333,3.3333333333333335,1.3333333333333333,-1.0859643212326828,-0.1358615542549597,-0.6934316036856539,-1.909186178575286,-0.6109129377438213,-1.30130889113047,-0.1358615542549597,-0.6934316036856539,-0.9561109144371456,-0.8156765305044198,-0.9722674053044289
