PART_ID,AS_1,AS_2,AS_3,AS_4,PS_1,PS_2,PS_3,PS_4,temporal_CIRCLES,temporal_SQUARES,inspection_CIRCLES,inspection_SQUARES,anti_mean,pro_mean,contrast,flag_AS_1_too_fast,flag_AS_2_too_fast,flag_AS_3_too_fast,flag_AS_4_too_fast,flag_PS_1_too_fast,flag_PS_2_too_fast,flag_PS_3_too_fast,flag_PS_4_too_fast,flag_AS_1_too_slow,flag_AS_2_too_slow,flag_AS_3_too_slow,flag_AS_4_too_slow,flag_PS_1_too_slow,flag_PS_2_too_slow,flag_PS_3_too_slow,flag_PS_4_too_slow,flag_negative_contrast,flag_zero_temporal_C,flag_zero_temporal_S,flag_zero_inspection_C,flag_zero_inspection_S,domain_outlier,mad_AS_1,mad_AS_2,mad_AS_3,mad_AS_4,mad_PS_1,mad_PS_2,mad_PS_3,mad_PS_4,mad_contrast,mad_temporal_C,mad_temporal_S,mad_inspection_C,mad_inspection_S,mad_outlier,mahal_dist_saccade,mahal_dist_processing,mahal_outlier_saccade,mahal_outlier_processing,mahal_outlier,stat_criteria_count,is_outlier,outlier_type
Y2-S2-013M31,311.90351428571427,271.4274857142857,247.61805714285714,266.6656,285.7131428571428,166.666,133.3328,130.95185714285714,11.904714285714284,26.190371428571428,42.85697142857143,64.28545714285714,274.4036642857143,179.16594999999998,95.2377142857143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.6613224622357334,1.1990585420172575,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-014K21,276.18937142857146,252.37994285714282,261.9037142857143,288.09408571428565,173.80882857142856,233.33239999999998,388.0936857142857,259.5227714285714,9.523771428571427,35.71414285714285,57.14262857142857,23.80942857142857,269.6417785714286,263.6894214285714,5.952357142857181,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.750436184183336,4.734552125550913,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-015K27,473.8076285714285,490.4742285714285,376.18897142857145,345.2367142857143,257.14182857142856,304.76068571428567,261.9037142857143,254.7608857142857,11.904714285714284,45.23791428571428,69.04734285714287,69.04734285714287,421.4268857142857,269.6417785714286,151.7851071428571,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.117927136058404,0.5782111691484552,FALSE,FALSE,FALSE,1,FALSE,None
Y2-S2-017K23,311.90351428571427,273.8084285714285,285.7131428571428,295.2369142857143,233.33239999999998,195.23731428571426,192.8563714285714,211.90391428571425,52.380742857142856,30.952257142857142,69.04734285714287,42.85697142857143,291.66549999999995,208.33249999999998,83.33299999999997,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5083377099542595,1.537772978574853,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-018K21,266.6656,295.2369142857143,271.4274857142857,276.18937142857146,195.23731428571426,233.33239999999998,183.33259999999999,142.8565714285714,7.142828571428571,11.904714285714284,66.6664,71.4282857142857,277.3798428571429,188.6897214285714,88.69012142857147,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.0394097265742284,0.6960848593277281,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-019K19,245.23711428571426,273.8084285714285,271.4274857142857,211.90391428571425,154.76128571428572,126.18997142857141,173.80882857142856,169.04694285714285,19.047542857142854,26.190371428571428,80.95205714285713,42.85697142857143,250.59423571428567,155.95175714285713,94.64247857142854,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.379272871495381,1.7114499314893705,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-020K19,309.52257142857144,259.5227714285714,292.8559714285714,764.282657142857,309.52257142857144,178.57071428571427,369.04614285714285,235.71334285714283,16.6666,9.523771428571427,85.71394285714285,40.476028571428564,406.54599285714283,273.21319285714287,133.33279999999996,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30.38544362743504,2.6395640052195244,TRUE,FALSE,TRUE,2,TRUE,Domain + Statistical
Y2-S2-021M22,419.04594285714285,359.52237142857143,342.8557714285714,330.9510571428571,161.90411428571426,133.3328,314.28445714285715,199.99919999999997,38.09508571428571,23.80942857142857,54.76168571428571,121.4280857142857,363.0937857142857,202.38014285714286,160.71364285714282,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.675912919885321,10.231766868920314,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-022M27,161.90411428571426,230.95145714285712,216.6658,230.95145714285712,133.3328,149.99939999999998,114.28525714285713,111.90431428571428,9.523771428571427,21.428485714285713,57.14262857142857,66.6664,210.11820714285713,127.38044285714284,82.73776428571429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.4043355266780815,0.46656911634986176,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-024M20,288.09408571428565,276.18937142857146,278.5703142857143,247.61805714285714,180.95165714285713,159.5231714285714,238.09428571428572,202.38014285714283,40.476028571428564,28.571314285714283,54.76168571428571,64.28545714285714,272.6179571428571,195.23731428571426,77.38064285714285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.1225805770519155,1.1056154267594744,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-025K21,216.6658,240.47522857142857,283.3322,202.38014285714283,171.4278857142857,304.76068571428567,207.14202857142857,128.57091428571428,23.80942857142857,19.047542857142854,47.61885714285714,38.09508571428571,235.71334285714283,202.97537857142856,32.73796428571427,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.3908166611944033,1.962746643003692,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-026K24,247.61805714285714,261.9037142857143,304.76068571428567,311.90351428571427,192.8563714285714,214.28485714285713,190.47542857142855,259.5227714285714,23.80942857142857,33.3332,64.28545714285714,61.904514285714285,281.5464928571428,214.2848571428571,67.26163571428572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4682644326885278,0.2854219292121917,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-027K22,245.23711428571426,240.47522857142857,249.999,211.90391428571425,166.666,152.38034285714284,166.666,161.90411428571426,23.80942857142857,57.14262857142857,64.28545714285714,73.80922857142858,236.90381428571428,161.9041142857143,74.99969999999999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6399724189987324,1.3138523193597218,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-028K24,226.1895714285714,223.80862857142856,238.09428571428572,199.99919999999997,173.80882857142856,197.61825714285715,188.09448571428572,185.71354285714284,28.571314285714283,28.571314285714283,49.99979999999999,42.85697142857143,222.0229214285714,186.30877857142858,35.71414285714283,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8809414138107683,1.6283279804350221,FALSE,FALSE,FALSE,0,FALSE,None
