PART_ID,AS_1,AS_2,AS_3,AS_4,PS_1,PS_2,PS_3,PS_4,temporal_CIRCLES,temporal_SQUARES,inspection_CIRCLES,inspection_SQUARES
Y2-S2-002K25,202.38014285714283,235.71334285714283,257.14182857142856,233.33239999999998,211.90391428571425,214.28485714285713,171.4278857142857,233.33239999999998,28.571314285714283,11.904714285714284,69.04734285714287,69.04734285714287
Y2-S2-003K22,273.8084285714285,257.14182857142856,290.47502857142854,249.999,295.2369142857143,233.33239999999998,180.95165714285713,199.99919999999997,11.904714285714284,33.3332,104.76148571428571,66.6664
Y2-S2-004K21,285.7131428571428,233.33239999999998,347.6176571428571,273.8084285714285,207.14202857142857,207.14202857142857,195.23731428571426,223.80862857142856,4.761885714285714,21.428485714285713,64.28545714285714,42.85697142857143
Y2-S2-010K21,352.37954285714284,385.7127428571428,338.0938857142857,380.9508571428571,202.38014285714283,176.18977142857142,221.4276857142857,173.80882857142856,9.523771428571427,19.047542857142854,59.52357142857143,49.99979999999999
Y2-S2-011K24,335.7129428571428,319.0463428571428,314.28445714285715,392.8555714285714,176.18977142857142,135.71374285714285,145.23751428571427,216.6658,26.190371428571428,114.28525714285713,80.95205714285713,78.57111428571429
Y2-S2-012M26,273.8084285714285,252.37994285714282,299.99879999999996,366.66519999999997,173.80882857142856,249.999,233.33239999999998,273.8084285714285,19.047542857142854,28.571314285714283,71.4282857142857,59.52357142857143
Y2-S2-013M31,311.90351428571427,271.4274857142857,247.61805714285714,266.6656,285.7131428571428,166.666,133.3328,130.95185714285714,11.904714285714284,26.190371428571428,42.85697142857143,64.28545714285714
Y2-S2-014K21,276.18937142857146,252.37994285714282,261.9037142857143,288.09408571428565,173.80882857142856,233.33239999999998,388.0936857142857,259.5227714285714,9.523771428571427,35.71414285714285,57.14262857142857,23.80942857142857
Y2-S2-015K27,473.8076285714285,490.4742285714285,376.18897142857145,345.2367142857143,257.14182857142856,304.76068571428567,261.9037142857143,254.7608857142857,11.904714285714284,45.23791428571428,69.04734285714287,69.04734285714287
Y2-S2-017K23,311.90351428571427,273.8084285714285,285.7131428571428,295.2369142857143,233.33239999999998,195.23731428571426,192.8563714285714,211.90391428571425,52.380742857142856,30.952257142857142,69.04734285714287,42.85697142857143
Y2-S2-018K21,266.6656,295.2369142857143,271.4274857142857,276.18937142857146,195.23731428571426,233.33239999999998,183.33259999999999,142.8565714285714,7.142828571428571,11.904714285714284,66.6664,71.4282857142857
Y2-S2-019K19,245.23711428571426,273.8084285714285,271.4274857142857,211.90391428571425,154.76128571428572,126.18997142857141,173.80882857142856,169.04694285714285,19.047542857142854,26.190371428571428,80.95205714285713,42.85697142857143
Y2-S2-021M22,419.04594285714285,359.52237142857143,342.8557714285714,330.9510571428571,161.90411428571426,133.3328,314.28445714285715,199.99919999999997,38.09508571428571,23.80942857142857,54.76168571428571,121.4280857142857
Y2-S2-022M27,161.90411428571426,230.95145714285712,216.6658,230.95145714285712,133.3328,149.99939999999998,114.28525714285713,111.90431428571428,9.523771428571427,21.428485714285713,57.14262857142857,66.6664
Y2-S2-024M20,288.09408571428565,276.18937142857146,278.5703142857143,247.61805714285714,180.95165714285713,159.5231714285714,238.09428571428572,202.38014285714283,40.476028571428564,28.571314285714283,54.76168571428571,64.28545714285714
Y2-S2-025K21,216.6658,240.47522857142857,283.3322,202.38014285714283,171.4278857142857,304.76068571428567,207.14202857142857,128.57091428571428,23.80942857142857,19.047542857142854,47.61885714285714,38.09508571428571
Y2-S2-026K24,247.61805714285714,261.9037142857143,304.76068571428567,311.90351428571427,192.8563714285714,214.28485714285713,190.47542857142855,259.5227714285714,23.80942857142857,33.3332,64.28545714285714,61.904514285714285
Y2-S2-027K22,245.23711428571426,240.47522857142857,249.999,211.90391428571425,166.666,152.38034285714284,166.666,161.90411428571426,23.80942857142857,57.14262857142857,64.28545714285714,73.80922857142858
Y2-S2-028K24,226.1895714285714,223.80862857142856,238.09428571428572,199.99919999999997,173.80882857142856,197.61825714285715,188.09448571428572,185.71354285714284,28.571314285714283,28.571314285714283,49.99979999999999,42.85697142857143
Y2-S2-030K23,304.76068571428567,304.76068571428567,342.8557714285714,342.8557714285714,209.52297142857142,304.76068571428567,283.3322,240.47522857142857,9.523771428571427,30.952257142857142,61.904514285714285,52.380742857142856
Y2-S2-033K24,276.18937142857146,307.14162857142856,242.8561714285714,249.999,204.7610857142857,223.80862857142856,314.28445714285715,304.76068571428567,19.047542857142854,28.571314285714283,73.80922857142858,73.80922857142858
Y2-S2-034K26,299.99879999999996,288.09408571428565,290.47502857142854,283.3322,178.57071428571427,178.57071428571427,216.6658,164.28505714285714,16.6666,42.85697142857143,90.47582857142856,85.71394285714285
Y2-S2-035K29,297.61785714285713,254.7608857142857,369.04614285714285,314.28445714285715,159.5231714285714,183.33259999999999,145.23751428571427,190.47542857142855,23.80942857142857,26.190371428571428,130.95185714285714,99.99959999999999
