"PART_ID","t","mean_corr"
"100M32",215.8,100
"100M32",232.4,81.8181818181818
"100M32",249,90.9090909090909
"100M32",265.6,72.7272727272727
"100M32",282.2,90.9090909090909
"100M32",298.8,81.8181818181818
"100M32",315.4,100
"100M32",332,100
"100M32",348.6,72.7272727272727
"100M32",365.2,90.9090909090909
"100M32",381.8,90.9090909090909
"100M32",398.4,90.9090909090909
"100M32",415,90.9090909090909
"100M32",431.6,80
"100M32",448.2,81.8181818181818
"100M32",464.8,60
"100M32",481.4,90.9090909090909
"100M32",498,90
"100M32",514.6,100
"100M32",531.2,90
"100M32",547.8,81.8181818181818
"100M32",564.4,90.9090909090909
"100M32",581,100
"100M32",597.6,100
"100M32",614.2,81.8181818181818
"100M32",630.8,90.9090909090909
"100M32",647.4,100
"100M32",664,90.9090909090909
"100M32",680.6,100
"100M32",697.2,100
"100M32",713.8,100
"100M32",730.4,81.8181818181818
"100M32",747,90.9090909090909
"100M32",763.6,90.9090909090909
"100M32",780.2,81.8181818181818
"100M32",796.8,100
"100M32",813.4,90.9090909090909
"100M32",830,90.9090909090909
"100M32",846.6,90.9090909090909
"100M32",863.2,100
"100M32",879.8,90.9090909090909
"100M32",896.4,81.8181818181818
"100M32",913,100
"100M32",929.6,100
"100M32",946.2,90.9090909090909
"100M32",962.8,100
"100M32",979.4,81.8181818181818
"100M32",996,100
"101M20",215.8,54.5454545454545
"101M20",232.4,90.9090909090909
"101M20",249,100
"101M20",265.6,90.9090909090909
"101M20",282.2,72.7272727272727
"101M20",298.8,70
"101M20",315.4,72.7272727272727
"101M20",332,80
"101M20",348.6,45.4545454545455
"101M20",365.2,70
"101M20",381.8,80
"101M20",398.4,90.9090909090909
"101M20",415,81.8181818181818
"101M20",431.6,90
"101M20",448.2,50
"101M20",464.8,72.7272727272727
"101M20",481.4,100
"101M20",498,77.7777777777778
"101M20",514.6,80
"101M20",531.2,90.9090909090909
"101M20",547.8,100
"101M20",564.4,72.7272727272727
"101M20",581,81.8181818181818
"101M20",597.6,81.8181818181818
"101M20",614.2,81.8181818181818
