"","PART_ID","t","mean_corr"
"1","100M32",215.8,100
"2","100M32",232.4,81.8181818181818
"3","100M32",249,90.9090909090909
"4","100M32",265.6,72.7272727272727
"5","100M32",282.2,90.9090909090909
"6","100M32",298.8,81.8181818181818
"7","100M32",315.4,100
"8","100M32",332,100
"9","100M32",348.6,72.7272727272727
"10","100M32",365.2,90.9090909090909
"11","100M32",381.8,90.9090909090909
"12","100M32",398.4,90.9090909090909
"13","100M32",415,90.9090909090909
"14","100M32",431.6,80
"15","100M32",448.2,81.8181818181818
"16","100M32",464.8,60
"17","100M32",481.4,90.9090909090909
"18","100M32",498,90
"19","100M32",514.6,100
"20","100M32",531.2,90
"21","100M32",547.8,81.8181818181818
"22","100M32",564.4,90.9090909090909
"23","100M32",581,100
"24","100M32",597.6,100
"25","100M32",614.2,81.8181818181818
"26","100M32",630.8,90.9090909090909
"27","100M32",647.4,100
"28","100M32",664,90.9090909090909
"29","100M32",680.6,100
"30","100M32",697.2,100
"31","100M32",713.8,100
"32","100M32",730.4,81.8181818181818
"33","100M32",747,90.9090909090909
"34","100M32",763.6,90.9090909090909
"35","100M32",780.2,81.8181818181818
"36","100M32",796.8,100
"37","100M32",813.4,90.9090909090909
"38","100M32",830,90.9090909090909
"39","100M32",846.6,90.9090909090909
"40","100M32",863.2,100
"41","100M32",879.8,90.9090909090909
"42","100M32",896.4,81.8181818181818
"43","100M32",913,100
"44","100M32",929.6,100
"45","100M32",946.2,90.9090909090909
"46","100M32",962.8,100
"47","100M32",979.4,81.8181818181818
"48","100M32",996,100
"49","101M20",215.8,54.5454545454545
"50","101M20",232.4,90.9090909090909
"51","101M20",249,100
"52","101M20",265.6,90.9090909090909
"53","101M20",282.2,72.7272727272727
"54","101M20",298.8,70
"55","101M20",315.4,72.7272727272727
"56","101M20",332,80
"57","101M20",348.6,45.4545454545455
"58","101M20",365.2,70
"59","101M20",381.8,80
"60","101M20",398.4,90.9090909090909
"61","101M20",415,81.8181818181818
"62","101M20",431.6,90
"63","101M20",448.2,50
"64","101M20",464.8,72.7272727272727
"65","101M20",481.4,100
"66","101M20",498,77.7777777777778
"67","101M20",514.6,80
"68","101M20",531.2,90.9090909090909
"69","101M20",547.8,100
"70","101M20",564.4,72.7272727272727
"71","101M20",581,81.8181818181818
"72","101M20",597.6,81.8181818181818
"73","101M20",614.2,81.8181818181818
"74","101M20",630.8,80
"75","101M20",647.4,90.9090909090909
"76","101M20",664,77.7777777777778
"77","101M20",680.6,72.7272727272727
"78","101M20",697.2,90.9090909090909
"79","101M20",713.8,81.8181818181818
"80","101M20",730.4,81.8181818181818
"81","101M20",747,72.7272727272727
"82","101M20",763.6,90
"83","101M20",780.2,90.9090909090909
"84","101M20",796.8,90
"85","101M20",813.4,81.8181818181818
"86","101M20",830,90.9090909090909
"87","101M20",846.6,70
"88","101M20",863.2,90.9090909090909
"89","101M20",879.8,72.7272727272727
"90","101M20",896.4,90.9090909090909
"91","101M20",913,54.5454545454545
"92","101M20",929.6,80
"93","101M20",946.2,90.9090909090909
"94","101M20",962.8,63.6363636363636
"95","101M20",979.4,100
"96","101M20",996,77.7777777777778
"97","102M19",215.8,72.7272727272727
"98","102M19",232.4,36.3636363636364
"99","102M19",249,63.6363636363636
"100","102M19",265.6,81.8181818181818
"101","102M19",282.2,36.3636363636364
"102","102M19",298.8,60
"103","102M19",315.4,81.8181818181818
"104","102M19",332,45.4545454545455
"105","102M19",348.6,72.7272727272727
"106","102M19",365.2,50
"107","102M19",381.8,50
"108","102M19",398.4,81.8181818181818
"109","102M19",415,63.6363636363636
"110","102M19",431.6,45.4545454545455
"111","102M19",448.2,27.2727272727273
"112","102M19",464.8,60
"113","102M19",481.4,54.5454545454545
"114","102M19",498,40
"115","102M19",514.6,44.4444444444444
"116","102M19",531.2,72.7272727272727
"117","102M19",547.8,60
"118","102M19",564.4,81.8181818181818
"119","102M19",581,20
"120","102M19",597.6,54.5454545454545
"121","102M19",614.2,72.7272727272727
"122","102M19",630.8,50
"123","102M19",647.4,81.8181818181818
"124","102M19",664,54.5454545454545
"125","102M19",680.6,63.6363636363636
"126","102M19",697.2,66.6666666666667
"127","102M19",713.8,60
"128","102M19",730.4,45.4545454545455
"129","102M19",747,54.5454545454545
"130","102M19",763.6,72.7272727272727
"131","102M19",780.2,72.7272727272727
